classification_code,cmd_code,hs_desc_official,bec5_label,bec5_end_use,exercise_03_bin,mapping_status,bec5_primary_flag,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule,primary_mapping_source
H5,130120,Gum Arabic,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,130190,"Natural gums, resins, gum-resins and oleoresins, n.e.c. in heading no. 1301","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,130211,Vegetable saps and extracts; opium,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,130212,Vegetable saps and extracts; of liquorice,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,130213,Vegetable saps and extracts; of hops,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,130214,Vegetable saps and extracts; of ephedra,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,130219,Vegetable saps and extracts; n.e.c. in item no. 1302.1,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,130220,Pectic substances; pectinates and pectates,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,130231,"Mucilages and thickeners; agar-agar, whether or not modified, derived from vegetable products","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,130239,"Mucilages and thickeners; whether or not modified, derived from vegetable products, n.e.c. in item no. 1302.3","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Processed|Generic",Intermediate Consumption,intermediates,mapped,False,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,140110,Bamboo used primarily for plaiting,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,140120,Rattans used primarily for plaiting,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,140190,Vegetable materials of a kind used primarily for plaiting; n.e.c. in heading no. 1401,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,140420,Vegetable products; cotton linters,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
H5,140490,Vegetable products; n.e.c. in chapter 14,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Intermediate Consumption|Primary",Intermediate Consumption,intermediates,mapped,True,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture,bec5_audit_mapping
