country_sample,year,flow,observed_hs6_codes,active_country_year_hs6_products,reporters_with_trade,reporter_year_flow_observations,trade_value,product_universe,excluded_hs6_codes,source_note,flow_order
rd2_countries,2017,Imports,5561,279304,60,60,14404610776890.014,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2018,Any flow,5573,500087,60,120,30815016187322.934,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2018,Exports,5506,219592,60,60,14947318365376.225,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2018,Imports,5557,280495,60,60,15867697821946.691,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2019,Any flow,5461,500920,60,120,30163276923540.027,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2019,Exports,5445,219987,60,60,14724288893966.094,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2019,Imports,5456,280933,60,60,15438988029573.953,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2020,Any flow,5457,497131,60,120,28282459471169.598,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2020,Exports,5446,217929,60,60,13894372369081.914,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2020,Imports,5452,279202,60,60,14388087102087.668,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2021,Any flow,5448,499833,60,120,35330709925188.02,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2021,Exports,5429,219113,60,60,17313234448981.451,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2021,Imports,5436,280720,60,60,18017475476206.543,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2022,Any flow,5754,512362,59,118,38815201394956.97,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2022,Exports,5712,226747,59,59,18725666432875.39,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2022,Imports,5752,285615,59,59,20089534962081.527,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2023,Any flow,5732,509016,58,116,37196982506512.55,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2023,Exports,5701,226978,58,58,18277704078672.266,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2023,Imports,5730,282038,58,58,18919278427840.32,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2024,Any flow,5710,493344,56,112,36595645087511.67,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2024,Exports,5668,220197,56,56,17928704549749.664,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2024,Imports,5707,273147,56,56,18666940537761.93,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2025,Any flow,5717,311023,33,66,26140865822521.637,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2025,Exports,5661,144030,33,33,12301405370734.752,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2025,Imports,5715,166993,33,33,13839460451786.928,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
